ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
020306,Áncash,Antonio Raymondi,San Juan de Rontoy,Urbano,196,2017
020306,Áncash,Antonio Raymondi,San Juan de Rontoy,Rural,1020,2017
020306,Áncash,Antonio Raymondi,San Juan de Rontoy,Total,1216,2017
020401,Áncash,Asunción,Chacas,Urbano,2066,2017
020401,Áncash,Asunción,Chacas,Rural,2768,2017
020401,Áncash,Asunción,Chacas,Total,4834,2017
020402,Áncash,Asunción,Acochaca,Urbano,260,2017
020402,Áncash,Asunción,Acochaca,Rural,2777,2017
020402,Áncash,Asunción,Acochaca,Total,3038,2017
020501,Áncash,Bolognesi,Chiquian,Urbano,3790,2017
020501,Áncash,Bolognesi,Chiquian,Rural,269,2017
020501,Áncash,Bolognesi,Chiquian,Total,4060,2017
020502,Áncash,Bolognesi,Abelardo Pardo Lezameta,Urbano,214,2017
020502,Áncash,Bolognesi,Abelardo Pardo Lezameta,Rural,45,2017
020502,Áncash,Bolognesi,Abelardo Pardo Lezameta,Total,260,2017
020503,Áncash,Bolognesi,Antonio Raymondi,Urbano,355,2017
020503,Áncash,Bolognesi,Antonio Raymondi,Rural,690,2017
020503,Áncash,Bolognesi,Antonio Raymondi,Total,1045,2017
020504,Áncash,Bolognesi,Aquia,Urbano,1155,2017
020504,Áncash,Bolognesi,Aquia,Rural,1048,2017
020504,Áncash,Bolognesi,Aquia,Total,2203,2017
020505,Áncash,Bolognesi,Cajacay,Urbano,709,2017
020505,Áncash,Bolognesi,Cajacay,Rural,1101,2017
020505,Áncash,Bolognesi,Cajacay,Total,1810,2017
020506,Áncash,Bolognesi,Canis,Urbano,316,2017
020506,Áncash,Bolognesi,Canis,Rural,11,2017
020506,Áncash,Bolognesi,Canis,Total,328,2017
020507,Áncash,Bolognesi,Colquioc,Urbano,1740,2017
020507,Áncash,Bolognesi,Colquioc,Rural,723,2017
020507,Áncash,Bolognesi,Colquioc,Total,2463,2017
020508,Áncash,Bolognesi,Huallanca,Urbano,5658,2017
020508,Áncash,Bolognesi,Huallanca,Rural,1090,2017
020508,Áncash,Bolognesi,Huallanca,Total,6749,2017
020509,Áncash,Bolognesi,Huasta,Urbano,1161,2017
020509,Áncash,Bolognesi,Huasta,Rural,342,2017
020509,Áncash,Bolognesi,Huasta,Total,1504,2017
020510,Áncash,Bolognesi,Huayllacayan,Urbano,354,2017
020510,Áncash,Bolognesi,Huayllacayan,Rural,981,2017
020510,Áncash,Bolognesi,Huayllacayan,Total,1336,2017
020511,Áncash,Bolognesi,La Primavera,Urbano,361,2017
020511,Áncash,Bolognesi,La Primavera,Rural,116,2017
020511,Áncash,Bolognesi,La Primavera,Total,477,2017
020512,Áncash,Bolognesi,Mangas,Urbano,388,2017
020512,Áncash,Bolognesi,Mangas,Rural,133,2017
020512,Áncash,Bolognesi,Mangas,Total,522,2017
020513,Áncash,Bolognesi,Pacllon,Urbano,863,2017
